VARIABLES = "Z" "T" "N2" "S-CH2" "T-CH2" "O" "H2" "H" "OH" "H2O" "O2" "HO2" "CH" "CO" "HCO" "CH2O" "CH3" "CO2" "CH4" "C2H3" "C2H4" "C2H5" "C2H" "HCCO" "C2H2" "C3H3" "A-C3H5" "N-C3H7" "C2H6" "P-C3H4" "A-C3H4" "A1" "A1-" "C5H5" "C3H6" "C4H8" "C5H6" "A2" "C5H10" "C5H11" "A1C2H2" "A1CH2" "A1CHO" "A1CH3" "C7H15" "N-C7H16" "A1C2H*" "A2-" "A1C2H"
0.0853302 1408.95 0.753034 1.09E-12 2.17E-11 0.0017098 0.000114168 6.73E-05 0.00156806 0.0463863 0.100526 1.70E-05 1.10E-12 0.0136963 2.44E-08 7.73E-10 1.89E-10 0.082881 2.67E-09 8.61E-12 7.30E-11 5.69E-13 1.56E-13 7.85E-11 9.25E-10 2.43E-12 1.06E-11 1.22E-14 1.44E-13 1.24E-11 1.47E-11 1.45E-10 1.65E-11 3.46E-11 2.60E-11 3.74E-26 1.59E-10 2.22E-07 4.82E-23 1.14E-26 8.43E-13 6.25E-15 1.65E-11 2.57E-13 1.73E-32 3.88E-30 6.91E-11 1.41E-10 3.43E-09
0.0936971 1482.05 0.751653 5.13E-12 1.00E-10 0.0020674 0.000154821 9.29E-05 0.00204765 0.0503306 0.0881109 1.38E-05 7.69E-12 0.015946 3.22E-08 2.22E-09 5.84E-10 0.089583 6.05E-09 2.52E-11 2.45E-10 1.25E-12 1.42E-12 3.28E-10 3.50E-09 1.11E-11 2.56E-11 2.08E-14 2.40E-13 3.77E-11 4.18E-11 3.09E-10 3.72E-11 7.15E-11 5.15E-11 9.59E-26 2.73E-10 2.44E-07 1.15E-22 2.26E-26 8.38E-13 2.24E-14 2.69E-11 7.33E-13 2.62E-31 6.57E-29 1.22E-10 2.37E-10 4.86E-09
0.102478 1551.93 0.750203 2.90E-11 5.43E-10 0.00237494 0.000211369 0.000123909 0.002567 0.0542998 0.0755538 1.10E-05 6.21E-11 0.0187772 4.28E-08 7.77E-09 2.16E-09 0.0958772 1.62E-08 9.10E-11 9.68E-10 3.32E-12 1.43E-11 1.65E-09 1.65E-08 6.20E-11 6.78E-11 4.10E-14 5.25E-13 1.41E-10 1.43E-10 7.61E-10 9.41E-11 1.68E-10 1.15E-10 3.27E-25 5.39E-10 2.67E-07 3.31E-22 5.58E-26 9.73E-13 9.70E-14 4.92E-11 2.51E-12 5.36E-30 1.48E-27 2.41E-10 3.88E-10 7.68E-09
0.111554 1617.05 0.748705 1.84E-10 3.25E-09 0.00258613 0.000287435 0.000159568 0.0030775 0.0582266 0.0632088 8.62E-06 5.36E-10 0.0223119 6.06E-08 3.23E-08 9.43E-09 0.101428 4.96E-08 4.04E-10 4.37E-09 1.09E-11 1.47E-10 9.19E-09 8.93E-08 4.09E-10 1.98E-10 9.50E-14 1.58E-12 6.25E-10 5.87E-10 2.20E-09 2.74E-10 4.45E-10 2.93E-10 1.67E-24 1.23E-09 2.90E-07 1.25E-21 1.83E-25 1.31E-12 4.97E-13 1.02E-10 1.01E-11 1.41E-28 4.25E-26 5.21E-10 6.08E-10 1.34E-08
0.120459 1674.25 0.747235 1.16E-09 1.90E-08 0.00265865 0.000383381 0.00019662 0.00350442 0.0619094 0.0518451 6.77E-06 4.32E-09 0.0264685 1.06E-07 1.43E-07 4.48E-08 0.10579 1.63E-07 1.98E-09 2.07E-08 4.05E-11 1.33E-09 5.05E-08 4.96E-07 2.86E-09 6.21E-10 2.53E-13 6.41E-12 3.02E-09 2.64E-09 7.05E-09 8.89E-10 1.26E-09 8.46E-10 1.30E-23 3.09E-09 3.14E-07 6.22E-21 8.14E-25 1.98E-12 2.78E-12 2.32E-10 4.50E-11 4.27E-27 1.39E-24 1.17E-09 8.94E-10 2.51E-08
0.128783 1722.09 0.745862 6.32E-09 9.75E-08 0.00258307 0.000497947 0.000231022 0.0037898 0.0651886 0.0420068 5.37E-06 2.88E-08 0.0310224 2.60E-07 6.05E-07 2.08E-07 0.108808 5.24E-07 9.34E-09 9.39E-08 1.55E-10 9.48E-09 2.44E-07 2.51E-06 1.86E-08 1.98E-09 7.46E-13 3.24E-11 1.42E-08 1.17E-08 2.31E-08 3.00E-09 3.50E-09 2.66E-09 1.41E-22 7.92E-09 3.36E-07 3.94E-20 4.67E-24 3.15E-12 1.54E-11 5.68E-10 2.02E-10 1.29E-25 4.53E-23 2.55E-09 1.22E-09 4.76E-08
0.136185 1760.33 0.74464 2.71E-08 4.00E-07 0.0023839 0.00062765 0.000258915 0.0039076 0.0679438 0.0339958 4.37E-06 1.44E-07 0.0356226 7.54E-07 2.16E-06 8.39E-07 0.110597 1.53E-06 3.81E-08 3.74E-07 5.51E-10 4.89E-08 9.44E-07 1.05E-05 1.01E-07 6.09E-09 2.28E-12 1.76E-10 5.88E-08 4.60E-08 7.06E-08 9.54E-09 8.74E-09 8.63E-09 1.77E-21 1.91E-08 3.59E-07 2.83E-19 3.11E-23 4.99E-12 7.66E-11 1.38E-09 8.30E-10 3.41E-24 1.29E-21 5.14E-09 1.56E-09 8.72E-08
0.142232 1788.59 0.743642 8.35E-08 1.20E-06 0.00212296 0.000760206 0.000277389 0.00387522 0.070043 0.0280566 3.74E-06 4.90E-07 0.039729 1.89E-06 5.87E-06 2.62E-06 0.111436 3.68E-06 1.20E-07 1.19E-06 1.62E-09 1.70E-07 2.69E-06 3.29E-05 4.05E-07 1.66E-08 6.44E-12 8.19E-10 1.90E-07 1.43E-07 1.81E-07 2.56E-08 1.81E-08 2.58E-08 2.05E-20 3.97E-08 3.82E-07 1.94E-18 2.03E-22 7.46E-12 3.02E-10 3.03E-09 2.80E-09 6.67E-23 2.73E-20 9.10E-09 1.87E-09 1.46E-07
0.146925 1808.46 0.742867 1.85E-07 2.64E-06 0.00186315 0.000883656 0.000287343 0.00375292 0.0715464 0.0238824 3.38E-06 1.16E-06 0.0430726 3.67E-06 1.20E-05 6.16E-06 0.111719 7.22E-06 2.89E-07 2.91E-06 3.79E-09 4.10E-07 5.64E-06 7.66E-05 1.15E-06 3.82E-08 1.55E-11 2.87E-09 4.62E-07 3.39E-07 3.75E-07 5.51E-08 3.07E-08 6.54E-08 1.81E-19 6.93E-08 4.04E-07 1.09E-17 1.14E-21 1.03E-11 8.98E-10 5.65E-09 7.34E-09 8.51E-22 3.74E-19 1.41E-08 2.12E-09 2.21E-07
0.150756 1823.08 0.742235 3.31E-07 4.72E-06 0.00162162 0.00099921 0.000291607 0.00358448 0.0726719 0.020792 3.17E-06 2.14E-06 0.0458449 5.90E-06 2.03E-05 1.19E-05 0.11173 1.23E-05 5.69E-07 5.92E-06 7.48E-09 7.75E-07 9.65E-06 0.000146061 2.59E-06 7.70E-08 3.23E-11 7.93E-09 9.22E-07 6.64E-07 6.69E-07 1.01E-07 4.54E-08 1.44E-07 1.22E-18 1.07E-07 4.26E-07 5.02E-17 5.57E-21 1.35E-11 2.17E-09 9.28E-09 1.60E-08 7.47E-21 3.52E-18 2.00E-08 2.33E-09 3.11E-07
